iter	Passed	Remaining
1336	651774	323205
1337	652199	322687
1338	652628	322171
1339	652971	321613
1340	653370	321082
1341	653756	320545
1342	654203	320038
1343	654654	319533
1344	655012	318983
1345	655456	318475
1346	655812	317925
1347	656407	317490
1348	656871	316992
1349	657326	316490
1350	657806	316000
1351	658231	315483
1352	658644	314961
1353	659243	314528
1354	659702	314028
1355	660055	313477
1356	660557	312998
1357	660997	312489
1358	661448	311985
1359	661809	311439
1360	662265	310938
1361	662822	310485
1362	663209	309952
1363	663612	309426
1364	664080	308931
1365	664512	308419
1366	664992	307929
1367	665493	307450
1368	666057	306999
1369	666433	306462
1370	666911	305971
1371	667339	305458
1372	667756	304940
1373	668312	304485
1374	668789	303995
1375	669256	303499
1376	669711	302999
1377	670126	302481
1378	670731	302048
1379	671307	301601
1380	671750	301096
1381	672106	300551
1382	672641	300086
1383	673142	299606
1384	673578	299098
1385	673985	298576
1386	674453	298082
1387	674933	297593
1388	675332	297068
1389	675714	296536
1390	676269	296080
1391	676825	295624
1392	677261	295116
1393	677718	294618
1394	678248	294150
1395	678697	293648
1396	679056	293107
1397	679488	292598
1398	680017	292130
1399	680539	291659
1400	681100	291205
1401	681568	290712
1402	682148	290265
1403	682665	289792
1404	683103	289286
1405	683543	288780
1406	684091	288319
1407	684648	287863
1408	685091	287359
1409	685488	286835
1410	685956	286342
1411	686376	285828
1412	686963	285383
1413	687501	284919
1414	687906	284399
1415	688523	283967
1416	688990	283473
1417	689430	282967
1418	689861	282459
1419	690378	281985
1420	690857	281496
1421	691271	280981
1422	691710	280475
1423	692078	279941
1424	692484	279423
1425	692948	278928
1426	693410	278433
1427	693896	277947
1428	694333	277441
1429	694702	276909
1430	695152	276409
1431	695747	275966
1432	696320	275515
1433	696735	275001
1434	697158	274490
1435	697680	274019
1436	698257	273569
1437	698786	273100
1438	699385	272658
1439	699766	272131
1440	700211	271629
1441	700711	271148
1442	701301	270703
1443	701826	270232
1444	702348	269760
1445	702742	269238
1446	703154	268724
1447	703583	268217
1448	704005	267706
1449	704502	267225
1450	704981	266736
1451	705425	266234
1452	705890	265741
1453	706421	265272
1454	706794	264744
1455	707320	264273
1456	707806	263787
1457	708256	263288
1458	708737	262801
1459	709237	262320
1460	709751	261845
1461	710232	261357
1462	710752	260884
1463	711197	260383
1464	711741	259919
1465	712141	259402
1466	712576	258898
1467	713103	258427
1468	713612	257949
1469	713996	257427
1470	714564	256971
1471	715034	256479
1472	715610	256026
1473	716054	255525
1474	716560	255046
1475	716968	254533
1476	717488	254059
1477	718029	253593
1478	718516	253108
1479	719057	252641
1480	719600	252176
1481	720200	251730
1482	720619	251220
1483	721157	250752
1484	721672	250277
1485	722035	249748
1486	722507	249257
1487	723019	248780
1488	723425	248267
1489	723830	247753
1490	724273	247253
1491	724732	246758
1492	725298	246300
1493	725893	245851
1494	726372	245363
1495	726805	244859
1496	727276	244368
1497	727846	243911
1498	728207	243383
1499	728811	242937
1500	729298	242451
1501	729804	241972
1502	730250	241473
1503	730726	240984
1504	731182	240488
